RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
23584,Brooklyn,2016,7,9,18,30,230,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,SB
23584,Brooklyn,2016,7,9,18,45,217,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,SB
23496,Brooklyn,2016,6,7,15,0,453,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,7,15,15,459,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,7,15,30,478,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,7,15,45,481,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,7,16,0,460,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,7,16,15,453,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,7,16,30,467,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,7,16,45,463,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,7,18,0,440,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,7,18,15,428,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,7,18,30,453,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,7,18,45,442,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,8,15,0,473,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
